,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
0,52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"javascript,  android,  web,  java",https://summerofcode.withgoogle.com/archive/2019/organizations/6331236958601216/
1,AboutCode.org,Find the origin and license of code,"python,  javascript,  nlp,  automaton,  search",https://summerofcode.withgoogle.com/archive/2019/organizations/5430785606156288/
2,AerospaceResearch.net,making space together,"python,  c/c++,  vhdl,  boinc,  java",https://summerofcode.withgoogle.com/archive/2019/organizations/5335970445000704/
3,aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","python,  python 3,  java,  javascript,  machine learning",https://summerofcode.withgoogle.com/archive/2019/organizations/5844178540429312/
4,Amahi,Making Home Networking and Storage Simple,,https://summerofcode.withgoogle.com/archive/2019/organizations/6556685512998912/
5,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"opengl,  vulkan,  spir-v,  java,  c/c++",https://summerofcode.withgoogle.com/archive/2019/organizations/5704209515675648/
6,AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,"scala,  javascript,  isabelle proof assistant,  android,  ios",https://summerofcode.withgoogle.com/archive/2019/organizations/4551437139312640/
7,Apertium,A free/open-source machine translation platform,"c++,  python,  xml,  bash",https://summerofcode.withgoogle.com/archive/2019/organizations/5281228587008000/
8,apertus° Association,open technology for professional film production,"fpga,  embedded,  vhdl,  c,  linux",https://summerofcode.withgoogle.com/archive/2019/organizations/5576921247645696/
9,API Client Tools at Google,Industry-leading user experiences for networked APIs.,"openapi,  grpc,  protocol buffers,  rpc,  rest",https://summerofcode.withgoogle.com/archive/2019/organizations/6340359469137920/
10,appleseedhq,A modern open source rendering engine for animation and visual effects,"c++11,  python,  opengl",https://summerofcode.withgoogle.com/archive/2019/organizations/5485316792647680/
11,Ardupilot.org,The worlds most advanced open source autopilot,"drones,  python,  linux,  robotics,  c/c++",https://summerofcode.withgoogle.com/archive/2019/organizations/6052415684476928/
12,Bazel,"Build and test software of any size, quickly and reliably","windows,  c/c++,  java,  bazel",https://summerofcode.withgoogle.com/archive/2019/organizations/5906507105828864/
13,BeagleBoard.org,Open hardware computing from kindergarten to kickstarter,"raspberry pi,  linux kernel,  javascript,  python,  hardware acceleration",https://summerofcode.withgoogle.com/archive/2019/organizations/6713523407683584/
14,Berkman Klein Center for Internet and Society,"Exploring cyberspace, sharing in its study, & helping to pioneer its development","ruby on rails,  meteor.js,  elasticsearch,  python,  java",https://summerofcode.withgoogle.com/archive/2019/organizations/5781930639884288/
15,"Biomedical Informatics, Emory University","Department of Biomedical Informatics (BMI), Emory University School of Medicine","python,  java,  deep learning,  medical imaging,  tensorflow",https://summerofcode.withgoogle.com/archive/2019/organizations/4661625682919424/
16,Blender Foundation,"Free and open source 3D creation for everyone, forever.","c,  c++,  python,  opengl",https://summerofcode.withgoogle.com/archive/2019/organizations/4524507157495808/
